trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.1	userbased	cosine	adjusted	null	null	0.7925442209036886	8.013315
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.1	userbased	cosine	adjweighted	null	null	0.7931338754855298	7.987156
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.1	userbased	pearson	weighted	null	null	0.831684365095367	6.764754
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.1	userbased	pearson	adjusted	null	null	0.8038223722501839	6.592184
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.1	userbased	pearson	adjweighted	null	null	0.809489623952035	6.595804
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.2	userbased	cosine	weighted	null	null	0.8156916355718986	7.667486
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.2	userbased	cosine	adjusted	null	null	0.7925442209036886	7.812606
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.2	userbased	cosine	adjweighted	null	null	0.7931338754855298	7.780794
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.2	userbased	pearson	weighted	null	null	0.8325268224623414	6.433839
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.2	userbased	pearson	adjusted	null	null	0.8066237127196593	6.47
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.2	userbased	pearson	adjweighted	null	null	0.8104015699988174	6.464937
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.3	userbased	cosine	weighted	null	null	0.8156916355718986	7.590063
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.3	userbased	cosine	adjusted	null	null	0.7925442209036886	7.574151
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.3	userbased	cosine	adjweighted	null	null	0.7931338754855298	7.595676
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.3	userbased	pearson	weighted	null	null	0.8322475744953708	6.420687
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.3	userbased	pearson	adjusted	null	null	0.8068120814728094	6.384557
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.3	userbased	pearson	adjweighted	null	null	0.8099853473027443	6.343751
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.4	userbased	cosine	weighted	null	null	0.8156922324076568	7.575728
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.4	userbased	cosine	adjusted	null	null	0.7925445249449412	7.645363
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.4	userbased	cosine	adjweighted	null	null	0.7931340901872325	7.601041
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.4	userbased	pearson	weighted	null	null	0.8343691586912307	6.326423
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.4	userbased	pearson	adjusted	null	null	0.8100634531750875	6.240228
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.4	userbased	pearson	adjweighted	null	null	0.812255102107388	6.33151
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.5	userbased	cosine	weighted	null	null	0.8161499918640635	7.593562
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.5	userbased	cosine	adjusted	null	null	0.7929782203713258	7.520995
