trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
1_4.base	1_4.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.4	0.4012971280310258	4.02664
1_4.base	1_4.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.6	0.4012971280310258	4.015133
1_4.base	1_4.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.8	0.4012971914621832	3.989783
1_4.base	1_4.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	1.0	0.5807308043378263	2.630147
1_5.base	1_5.test	threshold	null	0.0	userbased	cosine	adjweighted	null	null	0.3690788854061822	6.348618
1_5.base	1_5.test	threshold	null	0.2	userbased	cosine	adjweighted	null	null	0.3690788854061822	6.129737
1_5.base	1_5.test	threshold	null	0.4	userbased	cosine	adjweighted	null	null	0.3690788854061822	6.073723
1_5.base	1_5.test	threshold	null	0.6	userbased	cosine	adjweighted	null	null	0.3690788854061822	6.13777
1_5.base	1_5.test	threshold	null	0.8	userbased	cosine	adjweighted	null	null	0.3690818902931098	5.982177
1_5.base	1_5.test	threshold	null	1.0	userbased	cosine	adjweighted	null	null	0.5332408221799	3.344526
1_5.base	1_5.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.0	0.5591440098304485	0.21008
1_5.base	1_5.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.2	0.5591440098304485	0.204544
1_5.base	1_5.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.4	0.5591440098304485	0.205848
1_5.base	1_5.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.6	0.5591440098304485	0.202874
1_5.base	1_5.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.8	0.5591440098304485	0.202679
1_5.base	1_5.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	1.0	0.6334716072307658	0.132178
1_5.base	1_5.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.0	0.40456300144960855	4.106343
1_5.base	1_5.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.2	0.40456300144960855	3.99759
1_5.base	1_5.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.4	0.40456300144960855	4.036003
1_5.base	1_5.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.6	0.40456300144960855	4.130557
1_5.base	1_5.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.8	0.40456656414073194	4.129093
1_5.base	1_5.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	1.0	0.5906744893522848	2.69473
2_1.base	2_1.test	threshold	null	0.0	userbased	cosine	adjweighted	null	null	0.3675218765035367	6.443511
2_1.base	2_1.test	threshold	null	0.2	userbased	cosine	adjweighted	null	null	0.3675218765035367	6.375587
2_1.base	2_1.test	threshold	null	0.4	userbased	cosine	adjweighted	null	null	0.3675218765035367	6.334044
2_1.base	2_1.test	threshold	null	0.6	userbased	cosine	adjweighted	null	null	0.3675218765035367	6.224967
2_1.base	2_1.test	threshold	null	0.8	userbased	cosine	adjweighted	null	null	0.3675190035088199	6.102162
2_1.base	2_1.test	threshold	null	1.0	userbased	cosine	adjweighted	null	null	0.5279295827825183	3.354208
2_1.base	2_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.0	0.552771942869721	0.214806
2_1.base	2_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.2	0.552771942869721	0.205604
2_1.base	2_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.4	0.552771942869721	0.201483
2_1.base	2_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.6	0.552771942869721	0.209767
2_1.base	2_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.8	0.552771942869721	0.200955
2_1.base	2_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	1.0	0.626651317015577	0.130729
2_1.base	2_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.0	0.40297212383428194	4.069335
2_1.base	2_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.2	0.40297212383428194	4.114128
2_1.base	2_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.4	0.40297212383428194	3.97534
2_1.base	2_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.6	0.40297212383428194	4.104392
2_1.base	2_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.8	0.4029651623678534	3.955154
2_1.base	2_1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	1.0	0.5808004986190753	2.662571
2_2.base	2_2.test	threshold	null	0.0	userbased	cosine	adjweighted	null	null	0.3686263419498632	6.373783
2_2.base	2_2.test	threshold	null	0.2	userbased	cosine	adjweighted	null	null	0.3686263419498632	6.044377
2_2.base	2_2.test	threshold	null	0.4	userbased	cosine	adjweighted	null	null	0.3686263419498632	6.099353
2_2.base	2_2.test	threshold	null	0.6	userbased	cosine	adjweighted	null	null	0.3686263419498632	5.990273
2_2.base	2_2.test	threshold	null	0.8	userbased	cosine	adjweighted	null	null	0.3686259514873902	5.937005
2_2.base	2_2.test	threshold	null	1.0	userbased	cosine	adjweighted	null	null	0.5338882375192243	3.25901
2_2.base	2_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.0	0.5547562849858801	0.212494
2_2.base	2_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.2	0.5547562849858801	0.211669
2_2.base	2_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.4	0.5547562849858801	0.201527
2_2.base	2_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.6	0.5547562849858801	0.201095
2_2.base	2_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.8	0.5547562849858801	0.202124
2_2.base	2_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	1.0	0.6296573490120905	0.132236
2_2.base	2_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.0	0.40139242505369566	4.106646
2_2.base	2_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.2	0.40139242505369566	4.02055
2_2.base	2_2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.4	0.40139242505369566	4.276022
